"ID","Achievement","Effort","Intention","Intrinsic_motivation"
1,21,6.2,6.4,6.71429
2,5,4.6,6.6,6.57143
4,0,6,4.4,1
5,8,4.6,4.2,2.85714
6,20,6.4,6,6.42857
7,5,3.4,5.2,3
8,16,6,5.8,6.14286
9,4,2.8,4.4,3
10,10,5.6,7,4.71429
11,14,5.2,3.8,5.42857
12,21,3.4,6,6.57143
13,14,4.4,5,3.57143
14,11,4,5.2,2.85714
15,0,4,4,4.57143
16,0,5.4,6.4,3.42857
17,10,6.2,5.4,5.57143
18,0,3.2,5.8,3.42857
19,3,3,5.8,5
20,5,4.4,3,5
21,5,5.4,7,2.14286
22,0,3.2,3.25,5.14286
23,2,2,5.4,2.28571
24,5,2.8,2.2,4
25,5,4.6,4.6,4.85714
26,4,5.2,5.8,5.42857
27,3,5.2,5.2,2.14286
28,4,4.6,5.8,1
29,15,4.6,4.6,4.42857
30,1,5,5,3.57143
31,10,5.4,6.8,5.28571
32,5,6.4,7,1.85714
33,1,4,5,1.14286
34,5,5,3.8,5
35,9,3,5.8,2.57143
36,0,5.2,6,5.57143
37,16,4.8,4.4,5.14286
38,5,3.4,5.4,1.28571
39,0,5.4,6.6,5.14286
40,5,4.6,6.4,2.85714
41,0,7,7,6.57143
42,19,6.4,5,6
43,6,7,5.8,5.14286
44,11,4.2,4.4,3.28571
45,4,3.6,4.4,2.42857
46,5,3.2,1.6,3.14286
47,0,4.6,4.8,3.71429
48,5,4.6,4,5.28571
49,27,6,2.4,5.42857
50,15,3.4,4.6,4.71429
51,15,4.8,7,5.42857
52,0,4.6,5.4,5.14286
53,15,4.4,3.6,6
54,1,4,5.6,2.71429
55,0,2.6,4.2,1.71429
56,5,3.6,5,4.28571
57,0,5,7,4.71429
58,0,4,6,4.42857
59,0,2.8,2.6,3.14286
60,5,3,5.4,5
61,6,3.2,5.4,5
62,1,4,4.4,4.28571
63,0,3.2,1,6
64,0,3.4,3.4,5.14286
65,0,2.8,5.8,3
66,5,3,6,5.42857
67,0,2,6,2.28571
68,10,4.6,4.2,5
70,0,3.4,4.6,1.14286
71,4,5,4.8,3.57143
72,10,4.6,2.6,2.42857
73,5,3.8,4.2,2.14286
74,18,5,5.2,3.28571
75,12,6.6,6.2,6.85714
76,0,5,2.8,3.57143
77,10,6.2,6.8,7
78,18,5.2,5.6,6.14286
79,0,5.2,6,3.71429
80,10,3.8,6,4.42857
81,3,3.75,5,4.85714
82,25,4,5.4,6
83,10,2,4.6,4.85714
84,5,4.4,6.2,1.85714
85,10,4.6,4.4,5.71429
86,0,2.4,6.2,4.71429
87,6,5.6,6.8,5.85714
88,6,2.4,5,2.28571
89,1,2.6,6.4,1
90,0,4.4,5.6,2.71429
91,6,4,6.2,4.42857
92,5,5,5.4,5.14286
93,8,5.8,7,7
94,5,6.6,6.2,3.42857
96,19,7,6.6,4.71429
97,15,5.2,5.8,5.57143
98,11,5.4,6.4,6.14286
99,8,5,5.6,3.57143
100,9,4.6,6.2,3.71429
101,5,4.2,6.8,5.71429
102,23,5.2,7,6.42857
103,15,4.2,6.6,4
104,1,4.4,5.4,5.14286
105,25,5.2,6.4,5.14286
106,4,3.4,5.8,4.28571
107,6,4,5.2,4.42857
108,11,7,5.8,6.57143
109,0,4.6,6.6,4.28571
110,0,2.4,2.4,1
111,0,1.8,5.4,1
112,0,5.6,6,5.71429
113,0,4,6.6,4.57143
114,15,6.8,6.8,6
115,10,4.2,5.8,4.42857
116,5,5.4,5.8,4.14286
117,21,5.2,5.8,6.28571
118,5,4.4,5.6,1.57143
119,9,5.2,6.8,6.42857
120,5,4.2,5.4,4.71429
121,1,4.2,4.8,6.28571
122,5,4,6.6,2.28571
123,4,2.8,6.2,4.14286
124,0,2.8,4.6,1.66667
125,0,5.2,5.6,4.57143
126,10,4.4,4.8,1.28571
127,20,7,7,4.85714
128,1,5.4,4,6.14286
